ResourceName,ProjectID,Region,BucketName,Location,Versioning,FastRef
412774232669_781667589_asia_south2_import_custom,wayfair-test-378605,me-central1,412774232669_781667589_asia_south2_import_custom,me-central1,true,v34.1.0
412774232669_781667589_us_central1_import_content_with_faq_c,wayfair-test-378605,me-central1,412774232669_781667589_us_central1_import_content_with_faq_c,me-central1,true,v34.1.0
412774232669_us_import_document,wayfair-test-378605,me-central1,412774232669_us_import_document,me-central1,true,v34.1.0
artifacts.wayfair-test-378605.appspot.com,wayfair-test-378605,me-central1,artifacts.wayfair-test-378605.appspot.com,me-central1,true,v34.1.0
cloud-ai-platform-090ed01d-7c68-45aa-b73b-83e9f0577a61,wayfair-test-378605,me-central1,cloud-ai-platform-090ed01d-7c68-45aa-b73b-83e9f0577a61,me-central1,true,v34.1.0
entegris-source,wayfair-test-378605,me-central1,entegris-source,me-central1,true,v34.1.0
gcf-sources-412774232669-us-east1,wayfair-test-378605,me-central1,gcf-sources-412774232669-us-east1,me-central1,true,v34.1.0
gemini-poc-enablement,wayfair-test-378605,me-central1,gemini-poc-enablement,me-central1,true,v34.1.0
my-sql-poc-9211,wayfair-test-378605,me-central1,my-sql-poc-9211,me-central1,true,v34.1.0
rag-bucket-test-cases,wayfair-test-378605,me-central1,rag-bucket-test-cases,me-central1,true,v34.1.0
run-sources-wayfair-test-378605-us-central1,wayfair-test-378605,me-central1,run-sources-wayfair-test-378605-us-central1,me-central1,true,v34.1.0
sql-migration-to-cloud,wayfair-test-378605,me-central1,sql-migration-to-cloud,me-central1,true,v34.1.0
staging.wayfair-test-378605.appspot.com,wayfair-test-378605,me-central1,staging.wayfair-test-378605.appspot.com,me-central1,true,v34.1.0
test-cook,wayfair-test-378605,me-central1,test-cook,me-central1,true,v34.1.0
testgenericagent,wayfair-test-378605,me-central1,testgenericagent,me-central1,true,v34.1.0
us-central1-test-52b61d31-bucket,wayfair-test-378605,me-central1,us-central1-test-52b61d31-bucket,me-central1,true,v34.1.0
us.artifacts.wayfair-test-378605.appspot.com,wayfair-test-378605,me-central1,us.artifacts.wayfair-test-378605.appspot.com,me-central1,true,v34.1.0
wayfair-test-378605.appspot.com,wayfair-test-378605,me-central1,wayfair-test-378605.appspot.com,me-central1,true,v34.1.0
wf-terraform-state-wayfair-test-378605,wayfair-test-378605,me-central1,wf-terraform-state-wayfair-test-378605,me-central1,true,v34.1.0
wingmate_store,wayfair-test-378605,me-central1,wingmate_store,me-central1,true,v34.1.0
