ResourceName,AssetType,ProjectID,Region,FullResourcePath
alertmanager-0,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/pods/alertmanager-0
gmp-operator-74d955695b-q8cbh,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/pods/gmp-operator-74d955695b-q8cbh
rule-evaluator-657d9d44c7-k7bpl,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/pods/rule-evaluator-657d9d44c7-k7bpl
kube-state-metrics-0,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-cim/pods/kube-state-metrics-0
antrea-controller-horizontal-autoscaler-5ff9fbf69f-c4pmg,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/antrea-controller-horizontal-autoscaler-5ff9fbf69f-c4pmg
egress-nat-controller-5d6f788b48-kn966,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/egress-nat-controller-5d6f788b48-kn966
event-exporter-gke-6f95bbdc4b-2h9g7,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/event-exporter-gke-6f95bbdc4b-2h9g7
filestore-lock-release-controller-d4544498b-9gnw2,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/filestore-lock-release-controller-d4544498b-9gnw2
konnectivity-agent-autoscaler-599f686b68-gv44f,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/konnectivity-agent-autoscaler-599f686b68-gv44f
konnectivity-agent-cf666b8b5-j8qjd,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/konnectivity-agent-cf666b8b5-j8qjd
kube-dns-autoscaler-5dc856c59d-5l7b5,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/kube-dns-autoscaler-5dc856c59d-5l7b5
kube-dns-f6c6f978f-cslg8,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/kube-dns-f6c6f978f-cslg8
l7-default-backend-6d8756cdc8-5fs7b,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/l7-default-backend-6d8756cdc8-5fs7b
metrics-server-v1.34.1-65bdc58b67-rlcwc,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/metrics-server-v1.34.1-65bdc58b67-rlcwc
metrics-server-v1.34.1-7c94f747f9-rh2bf,k8s.io/Pod,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/pods/metrics-server-v1.34.1-7c94f747f9-rh2bf
